Polish,English,Link
pani,you,https://translate.google.com/translate_tts?ie=UTF-8&q=pani&tl=pl&client=tw-ob
jeszcze,still,https://translate.google.com/translate_tts?ie=UTF-8&q=jeszcze&tl=pl&client=tw-ob
mój,my,https://translate.google.com/translate_tts?ie=UTF-8&q=mój&tl=pl&client=tw-ob
nas,us,https://translate.google.com/translate_tts?ie=UTF-8&q=nas&tl=pl&client=tw-ob
żeby,To,https://translate.google.com/translate_tts?ie=UTF-8&q=żeby&tl=pl&client=tw-ob
no,yeah,https://translate.google.com/translate_tts?ie=UTF-8&q=no&tl=pl&client=tw-ob
bo,because,https://translate.google.com/translate_tts?ie=UTF-8&q=bo&tl=pl&client=tw-ob
chcesz,You want,https://translate.google.com/translate_tts?ie=UTF-8&q=chcesz&tl=pl&client=tw-ob
ich,their,https://translate.google.com/translate_tts?ie=UTF-8&q=ich&tl=pl&client=tw-ob
też,Too,https://translate.google.com/translate_tts?ie=UTF-8&q=też&tl=pl&client=tw-ob
tutaj,here,https://translate.google.com/translate_tts?ie=UTF-8&q=tutaj&tl=pl&client=tw-ob
naprawdę,Really,https://translate.google.com/translate_tts?ie=UTF-8&q=naprawdę&tl=pl&client=tw-ob
nigdy,Never,https://translate.google.com/translate_tts?ie=UTF-8&q=nigdy&tl=pl&client=tw-ob
mamy,We have,https://translate.google.com/translate_tts?ie=UTF-8&q=mamy&tl=pl&client=tw-ob
kto,Who,https://translate.google.com/translate_tts?ie=UTF-8&q=kto&tl=pl&client=tw-ob
możesz,You can,https://translate.google.com/translate_tts?ie=UTF-8&q=możesz&tl=pl&client=tw-ob
dobra,All right,https://translate.google.com/translate_tts?ie=UTF-8&q=dobra&tl=pl&client=tw-ob
przepraszam,Sorry,https://translate.google.com/translate_tts?ie=UTF-8&q=przepraszam&tl=pl&client=tw-ob
mu,him,https://translate.google.com/translate_tts?ie=UTF-8&q=mu&tl=pl&client=tw-ob
gdy,When,https://translate.google.com/translate_tts?ie=UTF-8&q=gdy&tl=pl&client=tw-ob
muszę,I have to,https://translate.google.com/translate_tts?ie=UTF-8&q=muszę&tl=pl&client=tw-ob
porządku,order,https://translate.google.com/translate_tts?ie=UTF-8&q=porządku&tl=pl&client=tw-ob
dziękuję,Thank you,https://translate.google.com/translate_tts?ie=UTF-8&q=dziękuję&tl=pl&client=tw-ob
nawet,even,https://translate.google.com/translate_tts?ie=UTF-8&q=nawet&tl=pl&client=tw-ob
chyba,I guess,https://translate.google.com/translate_tts?ie=UTF-8&q=chyba&tl=pl&client=tw-ob
domu,house,https://translate.google.com/translate_tts?ie=UTF-8&q=domu&tl=pl&client=tw-ob
ona,She,https://translate.google.com/translate_tts?ie=UTF-8&q=ona&tl=pl&client=tw-ob
prawda,True,https://translate.google.com/translate_tts?ie=UTF-8&q=prawda&tl=pl&client=tw-ob
zrobić,to do,https://translate.google.com/translate_tts?ie=UTF-8&q=zrobić&tl=pl&client=tw-ob
była,was,https://translate.google.com/translate_tts?ie=UTF-8&q=była&tl=pl&client=tw-ob
właśnie,Exactly,https://translate.google.com/translate_tts?ie=UTF-8&q=właśnie&tl=pl&client=tw-ob
będę,I will,https://translate.google.com/translate_tts?ie=UTF-8&q=będę&tl=pl&client=tw-ob
zawsze,Always,https://translate.google.com/translate_tts?ie=UTF-8&q=zawsze&tl=pl&client=tw-ob
hej,Hi,https://translate.google.com/translate_tts?ie=UTF-8&q=hej&tl=pl&client=tw-ob
nim,him,https://translate.google.com/translate_tts?ie=UTF-8&q=nim&tl=pl&client=tw-ob
nam,U.S,https://translate.google.com/translate_tts?ie=UTF-8&q=nam&tl=pl&client=tw-ob
te,these,https://translate.google.com/translate_tts?ie=UTF-8&q=te&tl=pl&client=tw-ob
moja,My,https://translate.google.com/translate_tts?ie=UTF-8&q=moja&tl=pl&client=tw-ob
musisz,you have to,https://translate.google.com/translate_tts?ie=UTF-8&q=musisz&tl=pl&client=tw-ob
je,them,https://translate.google.com/translate_tts?ie=UTF-8&q=je&tl=pl&client=tw-ob
dzięki,Thanks,https://translate.google.com/translate_tts?ie=UTF-8&q=dzięki&tl=pl&client=tw-ob
bez,without,https://translate.google.com/translate_tts?ie=UTF-8&q=bez&tl=pl&client=tw-ob
tej,this,https://translate.google.com/translate_tts?ie=UTF-8&q=tej&tl=pl&client=tw-ob
trochę,A bit,https://translate.google.com/translate_tts?ie=UTF-8&q=trochę&tl=pl&client=tw-ob
ktoś,someone,https://translate.google.com/translate_tts?ie=UTF-8&q=ktoś&tl=pl&client=tw-ob
panie,ladies,https://translate.google.com/translate_tts?ie=UTF-8&q=panie&tl=pl&client=tw-ob
jesteśmy,We are,https://translate.google.com/translate_tts?ie=UTF-8&q=jesteśmy&tl=pl&client=tw-ob
moje,my,https://translate.google.com/translate_tts?ie=UTF-8&q=moje&tl=pl&client=tw-ob
powiedzieć,to say,https://translate.google.com/translate_tts?ie=UTF-8&q=powiedzieć&tl=pl&client=tw-ob
który,which,https://translate.google.com/translate_tts?ie=UTF-8&q=który&tl=pl&client=tw-ob
czas,time,https://translate.google.com/translate_tts?ie=UTF-8&q=czas&tl=pl&client=tw-ob
więcej,more,https://translate.google.com/translate_tts?ie=UTF-8&q=więcej&tl=pl&client=tw-ob
twój,your,https://translate.google.com/translate_tts?ie=UTF-8&q=twój&tl=pl&client=tw-ob
musimy,we must,https://translate.google.com/translate_tts?ie=UTF-8&q=musimy&tl=pl&client=tw-ob
lat,years,https://translate.google.com/translate_tts?ie=UTF-8&q=lat&tl=pl&client=tw-ob
ta,this,https://translate.google.com/translate_tts?ie=UTF-8&q=ta&tl=pl&client=tw-ob
chce,I want,https://translate.google.com/translate_tts?ie=UTF-8&q=chce&tl=pl&client=tw-ob
możemy,We can,https://translate.google.com/translate_tts?ie=UTF-8&q=możemy&tl=pl&client=tw-ob
wszyscy,all,https://translate.google.com/translate_tts?ie=UTF-8&q=wszyscy&tl=pl&client=tw-ob
tobą,you,https://translate.google.com/translate_tts?ie=UTF-8&q=tobą&tl=pl&client=tw-ob
albo,or,https://translate.google.com/translate_tts?ie=UTF-8&q=albo&tl=pl&client=tw-ob
prostu,just,https://translate.google.com/translate_tts?ie=UTF-8&q=prostu&tl=pl&client=tw-ob
chodzi,goes,https://translate.google.com/translate_tts?ie=UTF-8&q=chodzi&tl=pl&client=tw-ob
razem,Together,https://translate.google.com/translate_tts?ie=UTF-8&q=razem&tl=pl&client=tw-ob
stało,stood,https://translate.google.com/translate_tts?ie=UTF-8&q=stało&tl=pl&client=tw-ob
cześć,Hi,https://translate.google.com/translate_tts?ie=UTF-8&q=cześć&tl=pl&client=tw-ob
mną,me,https://translate.google.com/translate_tts?ie=UTF-8&q=mną&tl=pl&client=tw-ob
czego,what,https://translate.google.com/translate_tts?ie=UTF-8&q=czego&tl=pl&client=tw-ob
sam,alone,https://translate.google.com/translate_tts?ie=UTF-8&q=sam&tl=pl&client=tw-ob
myślę,I think,https://translate.google.com/translate_tts?ie=UTF-8&q=myślę&tl=pl&client=tw-ob
pana,Mr,https://translate.google.com/translate_tts?ie=UTF-8&q=pana&tl=pl&client=tw-ob
przed,Before,https://translate.google.com/translate_tts?ie=UTF-8&q=przed&tl=pl&client=tw-ob
boże,God,https://translate.google.com/translate_tts?ie=UTF-8&q=boże&tl=pl&client=tw-ob
raz,once,https://translate.google.com/translate_tts?ie=UTF-8&q=raz&tl=pl&client=tw-ob
czemu,Why,https://translate.google.com/translate_tts?ie=UTF-8&q=czemu&tl=pl&client=tw-ob
będziesz,you will,https://translate.google.com/translate_tts?ie=UTF-8&q=będziesz&tl=pl&client=tw-ob
niż,than,https://translate.google.com/translate_tts?ie=UTF-8&q=niż&tl=pl&client=tw-ob
ludzie,People,https://translate.google.com/translate_tts?ie=UTF-8&q=ludzie&tl=pl&client=tw-ob
dalej,next,https://translate.google.com/translate_tts?ie=UTF-8&q=dalej&tl=pl&client=tw-ob
czym,what,https://translate.google.com/translate_tts?ie=UTF-8&q=czym&tl=pl&client=tw-ob
was,mustache,https://translate.google.com/translate_tts?ie=UTF-8&q=was&tl=pl&client=tw-ob
dobry,Good,https://translate.google.com/translate_tts?ie=UTF-8&q=dobry&tl=pl&client=tw-ob
przy,by,https://translate.google.com/translate_tts?ie=UTF-8&q=przy&tl=pl&client=tw-ob
ludzi,people,https://translate.google.com/translate_tts?ie=UTF-8&q=ludzi&tl=pl&client=tw-ob
dzień,Day,https://translate.google.com/translate_tts?ie=UTF-8&q=dzień&tl=pl&client=tw-ob
życie,life,https://translate.google.com/translate_tts?ie=UTF-8&q=życie&tl=pl&client=tw-ob
lepiej,Better,https://translate.google.com/translate_tts?ie=UTF-8&q=lepiej&tl=pl&client=tw-ob
miał,had,https://translate.google.com/translate_tts?ie=UTF-8&q=miał&tl=pl&client=tw-ob
rzeczy,things,https://translate.google.com/translate_tts?ie=UTF-8&q=rzeczy&tl=pl&client=tw-ob
twoja,your,https://translate.google.com/translate_tts?ie=UTF-8&q=twoja&tl=pl&client=tw-ob
czasu,time,https://translate.google.com/translate_tts?ie=UTF-8&q=czasu&tl=pl&client=tw-ob
ok,Approx,https://translate.google.com/translate_tts?ie=UTF-8&q=ok&tl=pl&client=tw-ob
temu,ago,https://translate.google.com/translate_tts?ie=UTF-8&q=temu&tl=pl&client=tw-ob
robisz,you do,https://translate.google.com/translate_tts?ie=UTF-8&q=robisz&tl=pl&client=tw-ob
myślisz,Do you think,https://translate.google.com/translate_tts?ie=UTF-8&q=myślisz&tl=pl&client=tw-ob
kim,Who is,https://translate.google.com/translate_tts?ie=UTF-8&q=kim&tl=pl&client=tw-ob
niech,let,https://translate.google.com/translate_tts?ie=UTF-8&q=niech&tl=pl&client=tw-ob
które,which,https://translate.google.com/translate_tts?ie=UTF-8&q=które&tl=pl&client=tw-ob
oczywiście,Of course,https://translate.google.com/translate_tts?ie=UTF-8&q=oczywiście&tl=pl&client=tw-ob
siebie,myself,https://translate.google.com/translate_tts?ie=UTF-8&q=siebie&tl=pl&client=tw-ob
niego,him,https://translate.google.com/translate_tts?ie=UTF-8&q=niego&tl=pl&client=tw-ob
cóż,Well,https://translate.google.com/translate_tts?ie=UTF-8&q=cóż&tl=pl&client=tw-ob
powiedział,he said,https://translate.google.com/translate_tts?ie=UTF-8&q=powiedział&tl=pl&client=tw-ob
u,at,https://translate.google.com/translate_tts?ie=UTF-8&q=u&tl=pl&client=tw-ob
daj,give,https://translate.google.com/translate_tts?ie=UTF-8&q=daj&tl=pl&client=tw-ob
moim,my,https://translate.google.com/translate_tts?ie=UTF-8&q=moim&tl=pl&client=tw-ob
chodź,come,https://translate.google.com/translate_tts?ie=UTF-8&q=chodź&tl=pl&client=tw-ob
musi,has to,https://translate.google.com/translate_tts?ie=UTF-8&q=musi&tl=pl&client=tw-ob
my,we,https://translate.google.com/translate_tts?ie=UTF-8&q=my&tl=pl&client=tw-ob
nikt,nobody,https://translate.google.com/translate_tts?ie=UTF-8&q=nikt&tl=pl&client=tw-ob
twoje,your,https://translate.google.com/translate_tts?ie=UTF-8&q=twoje&tl=pl&client=tw-ob
tych,these,https://translate.google.com/translate_tts?ie=UTF-8&q=tych&tl=pl&client=tw-ob
pod,under,https://translate.google.com/translate_tts?ie=UTF-8&q=pod&tl=pl&client=tw-ob
dlatego,Which is why,https://translate.google.com/translate_tts?ie=UTF-8&q=dlatego&tl=pl&client=tw-ob
pewnie,Sure,https://translate.google.com/translate_tts?ie=UTF-8&q=pewnie&tl=pl&client=tw-ob
powiedz,Say,https://translate.google.com/translate_tts?ie=UTF-8&q=powiedz&tl=pl&client=tw-ob
aby,To,https://translate.google.com/translate_tts?ie=UTF-8&q=aby&tl=pl&client=tw-ob
wtedy,then,https://translate.google.com/translate_tts?ie=UTF-8&q=wtedy&tl=pl&client=tw-ob
wygląda,looks like,https://translate.google.com/translate_tts?ie=UTF-8&q=wygląda&tl=pl&client=tw-ob
jeden,one,https://translate.google.com/translate_tts?ie=UTF-8&q=jeden&tl=pl&client=tw-ob
mojego,mine,https://translate.google.com/translate_tts?ie=UTF-8&q=mojego&tl=pl&client=tw-ob
im,them,https://translate.google.com/translate_tts?ie=UTF-8&q=im&tl=pl&client=tw-ob
mówi,says,https://translate.google.com/translate_tts?ie=UTF-8&q=mówi&tl=pl&client=tw-ob
dziś,today,https://translate.google.com/translate_tts?ie=UTF-8&q=dziś&tl=pl&client=tw-ob
taki,such,https://translate.google.com/translate_tts?ie=UTF-8&q=taki&tl=pl&client=tw-ob
mieć,to have,https://translate.google.com/translate_tts?ie=UTF-8&q=mieć&tl=pl&client=tw-ob
jako,as,https://translate.google.com/translate_tts?ie=UTF-8&q=jako&tl=pl&client=tw-ob
dwa,two,https://translate.google.com/translate_tts?ie=UTF-8&q=dwa&tl=pl&client=tw-ob
potem,later,https://translate.google.com/translate_tts?ie=UTF-8&q=potem&tl=pl&client=tw-ob
wie,knows,https://translate.google.com/translate_tts?ie=UTF-8&q=wie&tl=pl&client=tw-ob
takie,such,https://translate.google.com/translate_tts?ie=UTF-8&q=takie&tl=pl&client=tw-ob
nią,her,https://translate.google.com/translate_tts?ie=UTF-8&q=nią&tl=pl&client=tw-ob
wszystkie,all,https://translate.google.com/translate_tts?ie=UTF-8&q=wszystkie&tl=pl&client=tw-ob
znaczy,means,https://translate.google.com/translate_tts?ie=UTF-8&q=znaczy&tl=pl&client=tw-ob
rozumiem,I see,https://translate.google.com/translate_tts?ie=UTF-8&q=rozumiem&tl=pl&client=tw-ob
dzieje,history,https://translate.google.com/translate_tts?ie=UTF-8&q=dzieje&tl=pl&client=tw-ob
moją,My,https://translate.google.com/translate_tts?ie=UTF-8&q=moją&tl=pl&client=tw-ob
będziemy,we will be,https://translate.google.com/translate_tts?ie=UTF-8&q=będziemy&tl=pl&client=tw-ob
wiele,many,https://translate.google.com/translate_tts?ie=UTF-8&q=wiele&tl=pl&client=tw-ob
stąd,hence,https://translate.google.com/translate_tts?ie=UTF-8&q=stąd&tl=pl&client=tw-ob
oni,they,https://translate.google.com/translate_tts?ie=UTF-8&q=oni&tl=pl&client=tw-ob
mojej,mine,https://translate.google.com/translate_tts?ie=UTF-8&q=mojej&tl=pl&client=tw-ob
miejsce,place,https://translate.google.com/translate_tts?ie=UTF-8&q=miejsce&tl=pl&client=tw-ob
iść,to go,https://translate.google.com/translate_tts?ie=UTF-8&q=iść&tl=pl&client=tw-ob
kilka,several,https://translate.google.com/translate_tts?ie=UTF-8&q=kilka&tl=pl&client=tw-ob
pomóc,help,https://translate.google.com/translate_tts?ie=UTF-8&q=pomóc&tl=pl&client=tw-ob
dużo,A lot,https://translate.google.com/translate_tts?ie=UTF-8&q=dużo&tl=pl&client=tw-ob
ile,how much,https://translate.google.com/translate_tts?ie=UTF-8&q=ile&tl=pl&client=tw-ob
jasne,Of course,https://translate.google.com/translate_tts?ie=UTF-8&q=jasne&tl=pl&client=tw-ob
byłem,I was,https://translate.google.com/translate_tts?ie=UTF-8&q=byłem&tl=pl&client=tw-ob
swoje,own,https://translate.google.com/translate_tts?ie=UTF-8&q=swoje&tl=pl&client=tw-ob
myśli,thinks,https://translate.google.com/translate_tts?ie=UTF-8&q=myśli&tl=pl&client=tw-ob
cały,whole,https://translate.google.com/translate_tts?ie=UTF-8&q=cały&tl=pl&client=tw-ob
skąd,from where,https://translate.google.com/translate_tts?ie=UTF-8&q=skąd&tl=pl&client=tw-ob
wiedzieć,know,https://translate.google.com/translate_tts?ie=UTF-8&q=wiedzieć&tl=pl&client=tw-ob
dzieci,kids,https://translate.google.com/translate_tts?ie=UTF-8&q=dzieci&tl=pl&client=tw-ob
nich,them,https://translate.google.com/translate_tts?ie=UTF-8&q=nich&tl=pl&client=tw-ob
która,which,https://translate.google.com/translate_tts?ie=UTF-8&q=która&tl=pl&client=tw-ob
wam,you,https://translate.google.com/translate_tts?ie=UTF-8&q=wam&tl=pl&client=tw-ob
przykro,sorry,https://translate.google.com/translate_tts?ie=UTF-8&q=przykro&tl=pl&client=tw-ob
można,you can,https://translate.google.com/translate_tts?ie=UTF-8&q=można&tl=pl&client=tw-ob
jakieś,some,https://translate.google.com/translate_tts?ie=UTF-8&q=jakieś&tl=pl&client=tw-ob
tę,these,https://translate.google.com/translate_tts?ie=UTF-8&q=tę&tl=pl&client=tw-ob
wszystkich,all,https://translate.google.com/translate_tts?ie=UTF-8&q=wszystkich&tl=pl&client=tw-ob
nad,above,https://translate.google.com/translate_tts?ie=UTF-8&q=nad&tl=pl&client=tw-ob
jakiś,some,https://translate.google.com/translate_tts?ie=UTF-8&q=jakiś&tl=pl&client=tw-ob
sposób,way,https://translate.google.com/translate_tts?ie=UTF-8&q=sposób&tl=pl&client=tw-ob
trzeba,it's necessary to,https://translate.google.com/translate_tts?ie=UTF-8&q=trzeba&tl=pl&client=tw-ob
mają,May,https://translate.google.com/translate_tts?ie=UTF-8&q=mają&tl=pl&client=tw-ob
niej,her,https://translate.google.com/translate_tts?ie=UTF-8&q=niej&tl=pl&client=tw-ob
pracy,work,https://translate.google.com/translate_tts?ie=UTF-8&q=pracy&tl=pl&client=tw-ob
kogoś,someone,https://translate.google.com/translate_tts?ie=UTF-8&q=kogoś&tl=pl&client=tw-ob
tyle,so much,https://translate.google.com/translate_tts?ie=UTF-8&q=tyle&tl=pl&client=tw-ob
robić,to do,https://translate.google.com/translate_tts?ie=UTF-8&q=robić&tl=pl&client=tw-ob
bardziej,more,https://translate.google.com/translate_tts?ie=UTF-8&q=bardziej&tl=pl&client=tw-ob
mówisz,you speak,https://translate.google.com/translate_tts?ie=UTF-8&q=mówisz&tl=pl&client=tw-ob
zanim,before,https://translate.google.com/translate_tts?ie=UTF-8&q=zanim&tl=pl&client=tw-ob
zbyt,too,https://translate.google.com/translate_tts?ie=UTF-8&q=zbyt&tl=pl&client=tw-ob
szybko,Quick,https://translate.google.com/translate_tts?ie=UTF-8&q=szybko&tl=pl&client=tw-ob
dzisiaj,Today,https://translate.google.com/translate_tts?ie=UTF-8&q=dzisiaj&tl=pl&client=tw-ob
tobie,you,https://translate.google.com/translate_tts?ie=UTF-8&q=tobie&tl=pl&client=tw-ob
takiego,such,https://translate.google.com/translate_tts?ie=UTF-8&q=takiego&tl=pl&client=tw-ob
świetnie,Great,https://translate.google.com/translate_tts?ie=UTF-8&q=świetnie&tl=pl&client=tw-ob
zobaczyć,see,https://translate.google.com/translate_tts?ie=UTF-8&q=zobaczyć&tl=pl&client=tw-ob
zaraz,In a second,https://translate.google.com/translate_tts?ie=UTF-8&q=zaraz&tl=pl&client=tw-ob
pewno,surely,https://translate.google.com/translate_tts?ie=UTF-8&q=pewno&tl=pl&client=tw-ob
miałem,I had,https://translate.google.com/translate_tts?ie=UTF-8&q=miałem&tl=pl&client=tw-ob
kocham,I love,https://translate.google.com/translate_tts?ie=UTF-8&q=kocham&tl=pl&client=tw-ob
mówię,I say,https://translate.google.com/translate_tts?ie=UTF-8&q=mówię&tl=pl&client=tw-ob
nadal,still,https://translate.google.com/translate_tts?ie=UTF-8&q=nadal&tl=pl&client=tw-ob
jaki,What,https://translate.google.com/translate_tts?ie=UTF-8&q=jaki&tl=pl&client=tw-ob
rację,right,https://translate.google.com/translate_tts?ie=UTF-8&q=rację&tl=pl&client=tw-ob
kochanie,Honey,https://translate.google.com/translate_tts?ie=UTF-8&q=kochanie&tl=pl&client=tw-ob
myślałem,I thought,https://translate.google.com/translate_tts?ie=UTF-8&q=myślałem&tl=pl&client=tw-ob
trzy,Three,https://translate.google.com/translate_tts?ie=UTF-8&q=trzy&tl=pl&client=tw-ob
ojciec,father,https://translate.google.com/translate_tts?ie=UTF-8&q=ojciec&tl=pl&client=tw-ob
ani,or,https://translate.google.com/translate_tts?ie=UTF-8&q=ani&tl=pl&client=tw-ob
robi,does,https://translate.google.com/translate_tts?ie=UTF-8&q=robi&tl=pl&client=tw-ob
stanie,state,https://translate.google.com/translate_tts?ie=UTF-8&q=stanie&tl=pl&client=tw-ob
tą,that,https://translate.google.com/translate_tts?ie=UTF-8&q=tą&tl=pl&client=tw-ob
później,Later,https://translate.google.com/translate_tts?ie=UTF-8&q=później&tl=pl&client=tw-ob
ponieważ,Because,https://translate.google.com/translate_tts?ie=UTF-8&q=ponieważ&tl=pl&client=tw-ob
idź,go,https://translate.google.com/translate_tts?ie=UTF-8&q=idź&tl=pl&client=tw-ob
życia,life,https://translate.google.com/translate_tts?ie=UTF-8&q=życia&tl=pl&client=tw-ob
twoim,yours,https://translate.google.com/translate_tts?ie=UTF-8&q=twoim&tl=pl&client=tw-ob
przestań,Stop,https://translate.google.com/translate_tts?ie=UTF-8&q=przestań&tl=pl&client=tw-ob
sie,myself,https://translate.google.com/translate_tts?ie=UTF-8&q=sie&tl=pl&client=tw-ob
